UF;MUNICIPIO;TOTAL;MUNICIPIO_clean;id_municipio;longitude;latitude
AM;RIO PRETO DA EVA                   ;25;RIO PRETO DA EVA;174.0;-59.685793;-2.704497
AM;SANTA ISABEL DO RIO NEGRO          ;9;SANTA ISABEL DO RIO NEGRO;175.0;-65.009205;-0.410824
AM;SANTO ANTÔNIO DO IÇÁ               ;26;SANTO ANTÔNIO DO IÇÁ;176.0;-67.946279;-3.095443
AM;SILVES                             ;5;SILVES;180.0;-58.248031;-2.81748
AM;SÃO GABRIEL DA CACHOEIRA           ;49;SÃO GABRIEL DA CACHOEIRA;177.0;-67.084042;-0.11909
AM;SÃO PAULO DE OLIVENÇA              ;1;SÃO PAULO DE OLIVENÇA;178.0;-68.964581;-3.472919
AM;SÃO SEBASTIÃO DO UATUMÃ            ;7;SÃO SEBASTIÃO DO UATUMÃ;179.0;-57.873049;-2.559147
AM;TABATINGA                          ;8;TABATINGA;181.0;-69.938273;-4.241597
AM;TAPAUÁ                             ;19;TAPAUÁ;182.0;-63.1808;-5.620855
AM;TEFÉ                               ;111;TEFÉ;183.0;-64.719343;-3.368219
AM;TONANTINS                          ;3;TONANTINS;184.0;-67.791904;-2.865825
AM;UARINI                             ;13;UARINI;185.0;-65.113298;-2.996087
AM;URUCARÁ                            ;22;URUCARÁ;186.0;-57.753797;-2.529364
AM;URUCURITUBA                        ;2;URUCURITUBA;187.0;-58.149637;-3.128412
AP;AMAPÁ                              ;8;AMAPÁ;188.0;-50.795653;2.052669
AP;CALÇOENE                           ;10;CALÇOENE;189.0;-50.951233;2.504747
AP;CUTIAS                             ;8;CUTIAS;190.0;-50.799169;0.987565
AP;FERREIRA GOMES                     ;5;FERREIRA GOMES;191.0;-51.179523;0.857256
AP;ITAUBAL                            ;13;ITAUBAL;192.0;-50.670828;0.596137
AP;LARANJAL DO JARI                   ;54;LARANJAL DO JARI;193.0;-52.452962;-0.804911
AP;MACAPÁ                             ;359;MACAPÁ;194.0;-51.069395;0.034934
AP;MAZAGÃO                            ;58;MAZAGÃO;195.0;-51.28913;-0.11336
AP;OIAPOQUE                           ;26;OIAPOQUE;196.0;-51.833123;3.84074
AP;PEDRA BRANCA DO AMAPARÍ            ;23;PEDRA BRANCA DO AMAPARÍ;197.0;-51.950306;0.777424
AP;PORTO GRANDE                       ;38;PORTO GRANDE;198.0;-51.415499;0.71243
AP;PRACUÚBA                           ;5;PRACUÚBA;199.0;-50.789248;1.745427
AP;SANTANA                            ;51;SANTANA;200.0;-51.172924;-0.045434
AP;SERRA DO NAVIO                     ;9;SERRA DO NAVIO;201.0;-52.003636;0.901357
AP;TARTARUGALZINHO                    ;17;TARTARUGALZINHO;202.0;-50.90874;1.506519
AP;VITÓRIA DO JARI                    ;29;VITÓRIA DO JARI;203.0;-52.424001;-0.938
BA;ABARÉ                              ;1;ABARÉ;205.0;-39.116178;-8.720734
BA;ABAÍRA                             ;27;ABAÍRA;204.0;-41.661869;-13.24883
BA;ACAJUTIBA                          ;1;ACAJUTIBA;206.0;-38.019737;-11.657522
BA;ADUSTINA                           ;3;ADUSTINA;207.0;-38.111265;-10.54369
BA;ALAGOINHAS                         ;11;ALAGOINHAS;210.0;-38.420772;-12.133526
BA;ALCOBAÇA                           ;1;ALCOBAÇA;211.0;-39.203609;-17.519468
BA;ANAGÉ                              ;1;ANAGÉ;216.0;-41.135569;-14.61512
BA;ANDARAÍ                            ;1;ANDARAÍ;217.0;-41.329658;-12.804916
